#,SuperCategory,SubCategory,Level,Lexical Range,guideword,Can-do statement,Example
1138,DISCOURSE MARKERS,discourse markers in writing,B1,N/A,"FORM/USE: ADVERBS, STANCE",Can use adverbs as discourse markers to indicate an attitude or viewpoint.,"Unfortunately, they filmed only the building and the garden, not the students! (Italy; B1 THRESHOLD; 2008; Italian; Pass)

Actually, I do not have much time to watch television. (Malaysia; B1 THRESHOLD; 2007; Chinese; Pass)

Surprisingly, the suitcase was Lucy's. (Iran; B1 THRESHOLD; 2006; Farsi; Pass)"
1139,DISCOURSE MARKERS,discourse markers in writing,B2,N/A,FORM/USE: COMPARING,Can use a range of phrases as discourse markers to introduce a comparison.,"[talking about celebrating New Year] But some countries celebrate on other dates too, like they have Chinese New Year according to their calendar.  Likewise, in Nepal New Year is celebrated on 1st of Baishak, which is the start of a new year according to the Nepalese calendar. (B2 VANTAGE; 2011; Breton; Pass)

This group is expected to decrease considerably in the next fifty years. Similarly, the population of children are likely to drop to 11.5% in 2050. (India; B2 VANTAGE; 2011; Kannada; )

When you read a letter from someone, you can imagine and almost feel the emotions of that someone. In the same way, when you read a book, you can feel the author's sensations, travel to distant places or participate in adventures only possible in your imagination. (Portugal; B2 VANTAGE; 1993; Portuguese; Pass)"
1140,DISCOURSE MARKERS,discourse markers in writing,B2,N/A,"FORM/USE: ORGANISING, OPENINGS AND CLOSINGS, FORMAL","Can use a range of phrases as discourse markers to open and close texts and point to conclusions, often in formal contexts. ","To begin with, I want to ensure that you are going to have a great time with us. (Greece; B2 VANTAGE; 2009; Greek; Pass)

For a start, we have lived with books for thousands of years while television is only half a century old. (Portugal; B2 VANTAGE; 1993; Portuguese; Pass)

In conclusion, if people in zoos look after the animals, it isn't cruel to keep an animal in zoo. (Spain; B2 VANTAGE; 1993; Catalan; Pass)

To sum up, I think that whether you use a car or a bicycle depends on several aspects: where you live, when you work, the weather, and also the kind of job you do. (Italy; B2 VANTAGE; 1993; Italian; Pass)

In summary I would like to say that the majority of students is willing to help with cleaning, collecting the rubbish or even giving up their cars. (B2 VANTAGE; 2009; Polish; Pass)"
1141,DISCOURSE MARKERS,discourse markers in writing,B2,N/A,"FORM/USE: SUMMARISING, FORMAL",Can use a range of phrases as discourse markers to summarise.,"Thus, I would be very grateful if you would send me clear explanations of the following points: firstly, I would like you to specify what 'the normal price' is, and therefore what would be the cost of two nights. (Spain; B2 VANTAGE; 1997; Spanish - European; Pass)

Consequently, visiting zoos can help people learn about nature. (Spain; B2 VANTAGE; 1993; Spanish - European; Pass)

Hence, there is a great need to improve the situation of those animals so that their life would not become life imprisonment. (Poland; B2 VANTAGE; 1993; Polish; Pass)

Therefore, we are likely to enter the market as a pioneer, which will have a lot of benefits. (China; B2 VANTAGE; 2008; Chinese; Pass)"
1142,DISCOURSE MARKERS,discourse markers in writing,C1,N/A,FORM/USE: TEXTUAL REFERENCE,Can use a range of phrases as discourse markers to point to other parts of a text.,"As mentioned above, it might be possible to negotiate better contracts for your company. (Switzerland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2007; Swiss German; Pass)

I hope this brief note has convinced you to start this club. As mentioned earlier, I have already asked for information. (Netherlands; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2003; Dutch; Pass)

So as shown above, I recommend TELECARS to be our car services supplier because it offers all we need. (China; B2 VANTAGE; 2002; Chinese; Pass)"
1143,REPORTED SPEECH,reported speech,A2,N/A,"FORM: REPORTED STATEMENTS WITH 'SAY', PRONOUN SHIFT","Can report statements using a reporting clause with 'say' + 'that-'clause, with a pronoun shift where relevant. ","My mother said that she can take us there. (Brazil; A2 WAYSTAGE; 2008; Portuguese; Pass)

The teacher said that we have to bring a notebook, a pencil and a rubber. (Spain; A2 WAYSTAGE; 2006; Spanish - European; Pass)"
1144,REPORTED SPEECH,reported speech,A2,N/A,"FORM: REPORTED STATEMENTS WITH 'TELL', PRONOUN SHIFT","Can report statements using a reporting clause with 'tell' + direct object + 'that-'clause, with a pronoun shift where relevant. ","[about a mobile phone] It's very important to me to have it with me because my brother is in the hospital and my father told me that he will call. (Argentina; A2 WAYSTAGE; 2005; Spanish - Latin American; Pass)

My sister told me that this film is very good. (Brazil; A2 WAYSTAGE; 2003; Portuguese; Pass)

Gill told me that you had an accident last week. (A2 WAYSTAGE; 2008; Italian; Pass)"
1145,REPORTED SPEECH,reported speech,B1,N/A,"FORM: REPORTED STATEMENTS, PRONOUN AND TENSE SHIFT","Can report statements using a reporting clause with 'say' or 'tell' + 'that-'clause, with a pronoun and tense shift where relevant. ","I immediately called her to see if everything was o.k. and she said that she had won the lottery and she wanted to give some of the money to me. (Italy; B1 THRESHOLD; 2008; Italian; Pass)

He said that she was in big trouble because the phone was a bomb. (Peru; B1 THRESHOLD; 2008; Spanish - Latin American; Pass)

They said that our school was the most suitable school for that movie. (Turkey; B1 THRESHOLD; 2008; Turkish; Pass)

He said that it was his phone and he had left it in a cafe. (Uzbekhistan (Republic of); B1 THRESHOLD; 2008; Uzbek; Pass)

He said that he was a nuclear scientist and we had met before. (Hong Kong; B1 THRESHOLD; 1999; Chinese; Pass)

Mary told me that she was dating John. (Brazil; B1 THRESHOLD; 2004; Portuguese; Pass)

In the letter, he told me that he was coming to Madrid on the first of June and he asked me if I was free. (Spain; B1 THRESHOLD; 2008; Spanish - European; Pass)"
1146,REPORTED SPEECH,reported speech,B1,N/A,FORM: REPORTED 'YES-NO' QUESTIONS,"Can report questions using 'ask' + 'if' or 'whether' + clause, with a pronoun and tense shift where relevant. ","You asked me if I like shopping. (Germany; B1 THRESHOLD; 2006; German; Pass)

I am asking you if we can change the time of the meeting to 5.00 pm. (Peru; B1 THRESHOLD; 2008; Spanish - Latin American; Pass)

A very rich movie producer asked her if she wanted to be in a movie, he said she would get paid 500,000 dollars, she agreed. (Peru; B1 THRESHOLD; 2009; Spanish - Latin American; Pass)

I asked her if she wanted to go and have dinner together. (Cyprus; B1 THRESHOLD; 2006; Greek; Pass)

Renata, a really good friend of mine, told me she was in this club, but she left it some time ago; she asked me if I was interested in joining this amazing club. (Mexico; B1 THRESHOLD; 2003; Spanish - Latin American; Pass)

I'm writing to ask whether you're free next Saturday or not. (Vietnam; B1 THRESHOLD; 2009; Vietnamese; Pass)"
1147,REPORTED SPEECH,reported speech,B1,N/A,FORM: REPORTED 'WH-' QUESTIONS,"Can report 'wh-'questions using a reporting verb + 'wh-'word + clause, with a change of pronoun and tense shift where relevant. ","I asked why she was here. (Italy; B1 THRESHOLD; 1999; Italian; Pass)

I phoned and asked what sports we could play in this club. (France; B1 THRESHOLD; 2003; French; Pass)

When we asked why they were filming our school, they said they were looking for a location where they could film some boys and girls leaving the school and so they filmed us! (Italy; B1 THRESHOLD; 2008; Italian; Pass)

He saw a guy sat there so he sat next to him and asked where the football players were. (Portugal; B1 THRESHOLD; 2009; Portuguese; Pass)

They filmed it and interviewed a few pupils about what they think about the new swimming pool in the gym and I asked when it would be on TV. (Germany; B1 THRESHOLD; 2008; Polish; Pass)"
1148,REPORTED SPEECH,reported speech,B1,N/A,"FORM/USE: 'WONDER', REPORTED THOUGHT","Can report thought using 'wonder' + 'wh-'word + clause, with a tense shift where relevant. ","I always had good times with her and was very impatient to read this letter: I wondered what she had written. (France; B1 THRESHOLD; 2008; French; Pass)

I really wondered who he was, but I was embrassed to look at him. (Turkey; B1 THRESHOLD; 2009; Turkish; Pass)"
1149,REPORTED SPEECH,reported speech,B1,N/A,"FORM: DIRECT SPEECH, REPORTING CLAUSE, INITIAL POSITION","Can report speech and thought directly, using the reporting verb before the reporting clause.","He felt like a worm too and he said to me: ""I'm sorry I'm not a good friend"". (Italy; B1 THRESHOLD; 2000; Italian; Pass)

Maria answered ""Yes!? (Malaysia; B1 THRESHOLD; 2008; Chinese; Pass)

He answered: ""Come with me"". (Chile; B1 THRESHOLD; 2009; Spanish - Latin American; Pass)

Then I thought: ""I can't stay in prison"". (Chile; B1 THRESHOLD; 2008; Spanish - Latin American; Pass)

He asked ""Are you Clarice?"" I answered yes and then he told me that he was my father. (Algeria; B1 THRESHOLD; 2004; French; Pass)

She asked me ""How about we join the club?"" (Malaysia; B1 THRESHOLD; 2003; Chinese; Pass)

She thought: ""Should I go to the police or should I go back?? (Germany; B1 THRESHOLD; 2008; German; Pass)

I thought: ""Either I talk to her now or I won't be able to talk to her anytime!? (Germany; B1 THRESHOLD; 2009; German; Pass)"
1150,REPORTED SPEECH,reported speech,B1,N/A,"FORM: DIRECT SPEECH, REPORTING CLAUSE, END POSITION",Can report speech and thought directly using the reporting verb after the reporting clause.,"?Excuse me Sir, but you forgot your mobile phone,"" she said. (Germany; B1 THRESHOLD; 2008; German; Pass)

""I must take it to the police station,"" she thought. (Argentina; B1 THRESHOLD; 2008; Spanish - Latin American; Pass)

""Yes of course,"" she answered. (Cyprus; B1 THRESHOLD; 2009; Greek; Pass)

?What have I done?"" I thought. (Spain; B1 THRESHOLD; 2008; Spanish - European; Pass)

?What should I do?? she asked herself. (Germany; B1 THRESHOLD; 2008; German; Pass)

""But where is everybody? Am I alone?"" I asked. (Greece; B1 THRESHOLD; 2006; Greek; Pass)

""What's your name?"" he asked. (Mexico; B1 THRESHOLD; 2009; Spanish - Latin American; Pass)"
1151,REPORTED SPEECH,reported speech,B1,N/A,FORM: REPORTED REQUESTS AND COMMANDS,Can report requests and commands with 'ask' or 'tell' + direct object and 'to-'infinitive.,"She asked me to come back as soon as possible because my father is seriously ill. (Malaysia; B1 THRESHOLD; 2005; Malay; Pass)

As the concert finished, I heard someone call my name, I turned and there were two men from security who asked me to go up on the stage. (Cyprus; B1 THRESHOLD; 2006; Greek; Pass)

Dad asked me to help him at work. (Uruguay; B1 THRESHOLD; 2009; Spanish - Latin American; Pass)

He told me to go outside the concert hall and wait for him to come. (Cyprus; B1 THRESHOLD; 2006; Greek; Pass)

I have caught a cold and my doctors told me to rest in bed for a few days. (B1 THRESHOLD; 2009; Kurdish; Pass)

They told me to stay in the car and watch them and try to remember their faces. (B1 THRESHOLD; 2007; Slovak; Pass)"
1152,REPORTED SPEECH,reported speech,B1,N/A,"FORM/USE: TEMPORAL SHIFTS, FUTURE",Can report speech about events in the future with and without backshifts for words relating to time.,"At the airport they told him to come the next morning. (Switzerland; B1 THRESHOLD; 2006; Swiss German; Pass)

The trainer was impressed and said that if I play next time as well as this time, I'll be the 'pointing guard' in the team. (Poland; B1 THRESHOLD; 2001; German; Pass)

The letter said that he is coming home next month. (Malaysia; B1 THRESHOLD; 2008; Chinese; Pass)

Her husband told me that the following day they would return to Germany so that was the last time I saw Sara. (Spain; B1 THRESHOLD; 2006; Basque; Pass)"
1153,REPORTED SPEECH,reported speech,B2,N/A,"FORM: DIRECT SPEECH, REPORTING CLAUSE, MID POSITION",Can report speech and thought directly using the reporting verb in the mid position of the reported clause.,"""No problem"", I thought, ""there is only one person"". (Botswana; B2 VANTAGE; 1993; Vietnamese; Pass)

""We have come together"", this man said, ""to celebrate our annual meeting and to call our master's ghost tonight!? (Germany; B2 VANTAGE; 1993; German; Pass)

""No problem"", I thought, ""there is only one person"". (Botswana; B2 VANTAGE; 1993; Vietnamese; Pass)

""Forgive me, sweetheart"", he said, ""I will never leave you alone again.? (Poland; B2 VANTAGE; 1993; Polish; Pass) "
1154,REPORTED SPEECH,reported speech,B2,N/A,"FORM: DIRECT SPEECH, REPORTING CLAUSE, INVERTED SUBJECT",Can report speech directly inverting the subject and verb in the reporting clause where the subject is a proper noun or noun phrase.,"""I was astonished when I saw them standing there"", said John. (Netherlands; B2 VANTAGE; 1999; Dutch; Pass)

""Who are you?"" asked Peter. (Turkey; B2 VANTAGE; 1997; Turkish; Pass)

""Would you mind lending me a part of your newspaper?"" said a whispering voice. (Switzerland; B2 VANTAGE; 1993; German; Pass)

What do you think about this? said the Inspector to the policeman. (Spain; B2 VANTAGE; 1997; Spanish - European; Fail)"
1155,REPORTED SPEECH,reported speech,B2,N/A,"FORM: MODIFICATION, REPORTING VERB + ADVERB",Can modify the reporting verb with an adverb.,"""So this is a real cow, mom?"" she asked doubtfully. (Poland; B2 VANTAGE; 1993; Polish; Pass)

""A hundred dollars for one day. Is that a deal?"" her husband said forcefully. (Malaysia; B2 VANTAGE; 1999; Chinese; Pass)

""Come on, what's wrong?"" Bella asked curiously. (Greece; B2 VANTAGE; 2009; Greek; Pass)

""Put that light out!"" I shouted calmly. (St. Helena; B2 VANTAGE; 1993; Japanese; Fail)"
1156,REPORTED SPEECH,reported speech,B2,N/A,"FORM: REPORTED REQUESTS AND COMMANDS, NEGATIVE",Can report requests and commands with 'ask' or 'tell' + direct object + 'not' + 'to-'infinitive.,"Meanwhile, she told me not to be scared but the place was very... old. (Brazil; B2 VANTAGE; 1993; Portuguese; Pass)

I told him not to climb the wall but he was so interested in doing movements that he did not listen to me. (Spain; B2 VANTAGE; 1993; Spanish - European; Pass)

Arriving there, my father told me not to go far and to stay near him. (Brazil; B2 VANTAGE; 1993; Portuguese; Pass)

I asked Pat not to tell anyone, and she promised me she wouldn't. (Brazil; B2 VANTAGE; 2000; Portuguese; Pass)"
1157,REPORTED SPEECH,reported speech,B2,N/A,"FORM/USE: CITATION, PRESENT SIMPLE",Can use the present simple form of the reporting verb to report information from a written source and a present tense verb in the reported clause.,"First of all, your advertisement says that you have got two great nights in a hotel for us. (Turkey; B2 VANTAGE; 1997; Turkish; Pass)

It says you are asking for people to help in a summer camp for foreign school children. (B2 VANTAGE; 1993; Portuguese; Pass)

Firstly, your advertisement  tells  us that hotel has two great nights in a wonderful 3-star hotel (Turkey; B2 VANTAGE; 1997; Turkish; Fail)

The guidebook says that we can get there by train from London. (Korea, South; B2 VANTAGE; 1999; Korean; Fail)"
1158,REPORTED SPEECH,reported speech,B2,N/A,"FORM/USE: REPORTING VERBS, PAST CONTINUOUS","Can use the past continuous of the reporting verb to report mental processes, with a finite or non-finite 'wh-'clause in the reported clause.","I was wondering why I failed. (Greece; B2 VANTAGE; 1993; Greek; Pass)

So, he was wondering why we didn't have our letters. (Korea, North; B2 VANTAGE; 2006; Korean; Pass)

I was thinking which of the two would be more interesting, and I prefer to go to ""Can Animals Speak"", since I love them and I have two. So, I want to know how to communicate with them. (Mexico; B2 VANTAGE; 2008; Spanish - Latin American; Pass)

We were wondering what had happened for a few minutes but then we realised that there had been a power cut. (Spain; B2 VANTAGE; 1993; Spanish - European; Pass)

While he was thinking how to reply, Jenny took his hand and led him to the school. (Poland; B2 VANTAGE; 2000; Polish; Pass)"
1159,REPORTED SPEECH,reported speech,B2,N/A,"FORM/USE: TEMPORAL SHIFTS, PAST",Can report speech about events in the past with backshifts for tenses and words relating to time.,"She had told me the previous day that she had something important to tell me. (Greece; B2 VANTAGE; 1993; Greek; Pass)

We met Daisy at school on the following day and we told her that the previous day we had been at her house; her grandfather had told us that unluckily she wasn't at home. (Italy; B2 VANTAGE; 1993; Italian; Pass)

My boss had told me the previous day that an important customer was going to visit the company in the morning. (Spain; B2 VANTAGE; 1993; Spanish - European; Pass)

I had told my friends the day before that I expected to get an A! (Spain; B2 VANTAGE; 1993; Catalan; Pass)"
1160,FOCUS,focus,A2,N/A,"FORM/USE: PREPOSITIONAL PHRASES, FRONTING ",Can use prepositional phrases in the front position for focus.,"In the morning, I go to the beach. (Argentina; A2 WAYSTAGE; 2009; Spanish - Latin American; Pass)

In my country, the most popular food is Paella, which is a kind of rice with seafood, really tasty. (A2 WAYSTAGE; 2006; Portuguese; Pass)

From your house, take the first turning on your left after the roundabout. (France; A2 WAYSTAGE; 2009; French; Pass)"
1161,FOCUS,focus,B1,N/A,"FORM/USE: FRONTING, ADVERBS",Can use adverbs in the front position for focus.,"That's my diary, the dearest thing I had. Here I wrote how I felt, what I did, who I met and all my problems. (Italy; B1 THRESHOLD; 2000; Italian; Pass)

Quickly I opened the envelope, took out a white piece of paper and started to read. (Germany; B1 THRESHOLD; 2008; German; Pass)

Suddenly, the door opened. (Brazil; B1 THRESHOLD; 2008; Portuguese; Pass)

Outside, it wasn't a sunny day any longer, it was raining a lot. (Portugal; B1 THRESHOLD; 2007; Portuguese; Pass)"
1162,FOCUS,focus,B1,N/A,FORM/USE: 'IT' + 'BE' ADJECTIVE + 'THAT' CLAUSE,Can use 'it' + 'be' + adjective + 'that-'clause for focus.,"It's great that you have got a new job! (Spain; B1 THRESHOLD; 2009; Spanish - European; Pass)

It's true that there are one or two programmes that are interesting or funny, but the rest... they're horrible! (Spain; B1 THRESHOLD; 2010; Spanish - European; Pass)

It's important that you are happy. (Germany; B1 THRESHOLD; 2008; German; Pass)

It is really sad that you have to move to a different area. (Czech Republic; B1 THRESHOLD; 2008; Czech; Pass)"
1163,FOCUS,focus,B2,N/A,"FORM/USE: 'THE REASON (THAT)', 'THE PLACE (WHICH)' + CLAUSE, SUBJECT","Can use 'The reason (that)', 'The place (which)' + clause as subject + 'be' for focus. ► Relative clauses","The reason I am writing is to suggest a few things about our holidays. (Greece; B2 VANTAGE; 2008; Greek; Pass)

The reason that I never continued taking lessons is that my school-work became too heavy and the costs of lessons were too expensive for me as a student. (Sweden; B2 VANTAGE; 1993; Swedish; Pass)

The place you need is called ""Academiuta"". (Italy; B2 VANTAGE; 2005; Italian; Pass)

The place we appreciated the most was the Cap Frehel, where nature is still wild and the birds feel at home. (Belgium; B2 VANTAGE; 1993; French; Pass)

The place which has impressed me most of all in my life is Abastumani. (Georgia (Republic of); B2 VANTAGE; 1997; Russian; Pass)."
1164,FOCUS,focus,B2,N/A,FORM/USE: 'THE THING/ FACT/ POINT/ PROBLEM IS (THAT)',"Can use 'The thing, fact, point, problem, or reason + is (that)' for focus.","The reason is I like children, I have experience of looking after disabled people and I like to do things like volunteering. (B2 VANTAGE; 1993; Japanese; Pass)

The problem is I know myself, I am always late when I have to leave my house so I need a car to go faster. (Saudi Arabia; B2 VANTAGE; 1993; Arabic - Gulf; Pass)

The fact is that not all animals are able to deal with this. (Denmark; B2 VANTAGE; 1993; Danish; Pass)

The fact is science needs computers to increase knowledge and businesses need them like the air we breathe. (B2 VANTAGE; 1999; Catalan; Pass)

It is true that a lot of accidents are caused by cars. The point is that the car itself does not cause the accident. (Greece; B2 VANTAGE; 1993; Greek; Pass)

The thing is, Alison is an eleven-year-old girl who has been, together with her father, left behind by her mother when she was just three. (Brazil; B2 VANTAGE; 2005; Portuguese; Pass)"
1165,FOCUS,focus,C1,N/A,"FORM/USE: FIXED EXPRESSIONS, FRONTING",Can use fixed expressions in the front position for focus.,"At the end of the day everything is up to you! (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2000; Greek; Fail)

All in all, the activity week was a nice experience for both students and teachers. (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2008; Greek; Pass)

All things considered, I would recommend the third proposal as it seems to me that it covers most of the points the students have been complaining about. (Italy; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1999; Italian; Pass)

When it comes down to it, who does not like such a surprise? (Brazil; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2008; Portuguese; Pass)

When you think about it, can we afford a flat in Central London and still have something left with a basic salary? (Croatia; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2008; Croatian; Pass)"
1166,FOCUS,focus,C1,N/A,FORM/USE: IMPERATIVES,Can use imperatives as pointing devices within texts for focus.,"Note the disadvantages of this transfer. (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2002; Greek; Pass)

Notice the difference in the salary. (Ecuador; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2008; Spanish - Latin American; Pass

See the written instructions on the phone for complete instruction. (C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1993; Swedish; Fail)"
1167,FOCUS,focus,C1,N/A,FORM/USE: 'WHAT' CLEFT CLAUSE,"Can use 'What' + noun or pronoun + verb phrase as subject + 'be', for focus.  ","What we need is a strong publicity campaign, directed at young people. (Portugal; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1993; Portuguese; Pass)

What everyone loved were the special effects and we were very impressed by the use of advanced technological innovations. (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2008; Greek; Pass)

What companies care about is money and football players help them to earn it. (Spain; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2005; Catalan; Pass)

What tourists want is to see the most typical things in England, not a hamburger restaurant or a London musical from the back row in the gallery. (Spain; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1993; Spanish - European; Pass)

What students learn are mostly facts and theories. (Korea, South; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2001; Korean; Pass)

What I found particularly fascinating about this story is that it is still exciting and thrilling, despite the plot being rather easy to follow. (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2008; Greek; Pass)"
1168,FOCUS,focus,C1,N/A,"FORM/USE: 'WH-'CLEFT CLAUSE, TITLES","Can use 'Wh-'cleft clauses as titles or subtitles, to point to something that follows, for focus.","Why I think this is a good idea
People are sensitive, and when they hear about charities, they always want to help. (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2003; Greek; Pass)

Why you should choose that event
If you fund this event, you will gain in two ways: firstly you will help needy people, and secondly you will be admired. (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2003; Greek; Fail)

The aim of this is to find out why our biggest customer stopped purchasing from our company.
How I investigated. First I started looking on the internet in general. (Switzerland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2009; German; Fail)

How we could benefit in terms of sales
This drink will be taken by athletes of any kind. (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2003; Greek; Pass)"
1169,FOCUS,focus,C1,N/A,FORM/USE: NON-FINITE WITH '-ED' CLAUSES,"Can use a non-finite subordinate clause with an '-ed' form, before a main clause, for focus, often in formal, academic or business contexts.","Compared to other European capitals, there has been a lot done to make riding a bike less dangerous and more comfortable in Berlin. (Germany; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1998; German; Pass)

Outlined below are some essential reasons which justify my choice and should be seriously considered. (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2003; Greek; Pass)"
1170,FOCUS,focus,C2,N/A,FORM/USE: 'NOT A' + NOUN,Can use 'Not a' + noun with a passive verb or inverted auxiliary and subject for focus.,"Not a word was spoken by anyone throughout the journey. (Cyprus; C2 MASTERY; 2000; Greek; Pass)

Not a scrap of remorse do they have. (Switzerland; C2 MASTERY; 1993; French; Pass)"
1171,FOCUS,focus,C2,N/A,FORM/USE: 'WH-'CLEFT  CLAUSE,"Can use 'How', 'Why', or 'Where' cleft clauses as subject, for focus","How we are brought up forms our character, our thinking and our attitude towards ourselves and towards everybody and everything around us. (Switzerland; C2 MASTERY; 1993; German; Fail)

Where he had gone to was a mystery. (Netherlands; C2 MASTERY; 1998; Dutch; Pass)

How they influenced my life is hard to tell. (Germany; C2 MASTERY; 1997; German; Pass)

Why I think my father is successful is because of his personality, he is very fair about everything,; for example if he sees two beautiful women walking down the street and you ask him which is the nicest of them, he couldn't tell even if one was plain ugly he couldn't. (Sweden; C2 MASTERY; 1993; Swedish; Pass)

[talking about possessions] How people have got their objects is also important. (Sweden; C2 MASTERY; 2000; Swedish; Pass)"
1172,FOCUS,focus,C2,N/A,"FORM/USE: 'THE' + PREMODIFIER + 'THING, FACT etc.' + 'IS (THAT)'","Can use 'The' + premodifier + 'thing, fact, point, problem or reason' + 'is (that)' for focus.","The sad thing about it was that it was actually Richard who said, ""Why don't you go on holiday?' (Poland; C2 MASTERY; 1993; Polish; Pass)

The strange thing was that the noise reminded her of someone making a cup of tea. (C2 MASTERY; 1993; Swedish; Pass)

The sad fact is, poverty is very likely to pass down to the next generation in these situations. (China; C2 MASTERY; 1999; Chinese; Pass)

The relevant point is that that personal, almost intimate relationship between the possessor and the thing possessed is at the core of that particular love we all hold for certain things. (Spain; C2 MASTERY; 2000; Catalan; Pass)

The only problem is that they are a little too noisy in the night. (Spain; C2 MASTERY; 2003; Spanish - European; Pass)"
1173,FOCUS,focus,C2,N/A,FORM/USE: 'IT' CLEFT,Can use 'It' + 'be' + noun + 'that' clause for focus.,"It is Lily who decides to go to the seaside and it is also her who kills the turkey given by a lorry-driver. (France; C2 MASTERY; 1993; French; Pass)

It was Paul who stole the money. (Hong Kong; C2 MASTERY; 1997; Chinese; Pass)

It is Piggy who finds the conch and knows how to blow it. (Denmark; C2 MASTERY; 1993; Danish; Fail)

It is my mother who always plays the role of mediator. (Poland; C2 MASTERY; 1993; Polish; Pass)

It is this silence that gives me the impression of togetherness, for which no words are needed. (Netherlands; C2 MASTERY; 1997; Dutch; Pass)"
1174,FOCUS,focus,C2,N/A,FORM/USE: MULTIPLE FIXED EXPRESSIONS,Can use more than one fixed expression in the front position for added focus.,"But all of a sudden, out of nowhere a bunch of people came running towards him, yelling something he couldn't understand. (Switzerland; C2 MASTERY; 2000; Chinese; Pass)

All in all, taking everything into account, I would suggest that a leisure centre would be the most beneficial as it provides all the facilities necessary to attract and benefit a number of people in the community. (Greece; C2 MASTERY; 2009; Greek; Pass)

What is more, from my point of view happiness has nothing to do with big things but with small things such as day-to-day details. (Spain; C2 MASTERY; 1993; Spanish - European; Pass)"
1175,NEGATION,negation,A1,N/A,FORM: MAIN VERB 'BE',"Can form negative statements of main verb 'be', with contracted and uncontracted forms.","My college is not very big. (A1 BREAKTHROUGH; 2007; Polish; Pass)

I know you are not well. (A1 BREAKTHROUGH; 2009; French; Pass)

I'm not a good swimmer. (A1 BREAKTHROUGH; 2011; Romanian; Pass)

This place isn't big. (A1 BREAKTHROUGH; 2007; Lithuanian; Pass)"
1176,NEGATION,negation,A1,N/A,"FORM: AUXILIARY VERB 'DO', PRESENT",Can form negative statements of main verbs in the present simple with 'don't' + main verb. ► present simple ► can,"I don't have a dining room, so we eat in the living room. (A1 BREAKTHROUGH; 2009; Romanian; Pass)

We don't like other lessons, for example: French language. (A1 BREAKTHROUGH; 2007; Polish; Pass)"
1177,NEGATION,negation,A1,N/A,FORM: MODAL VERB 'CAN',Can use negative form 'can't'.,"In winter, we can't go visiting because it is too cold. (A1 BREAKTHROUGH; 2011; Nepali; Pass)

I can't find my CD. (A1 BREAKTHROUGH; 2008; Romanian; Pass)"
1178,NEGATION,negation,A2,N/A,"FORM: AUXILIARY VERBS 'BE', 'HAVE', PRESENT",Can form negative statements of main verbs in the present continuous and present perfect with 'be' and 'have' + 'not/n't'.  ► present continuous ► present perfect,"The gas is not working. (A2 WAYSTAGE; 2009; Gujarati; Pass)

The window is broken and is not closing. (A2 WAYSTAGE; 2010; Portuguese; Pass)

Now, I haven't got any money, but I am really happy! (Italy; A2 WAYSTAGE; 2008; Italian; Pass)

I haven't tidied my room since I bought this mobile. (Italy; A2 WAYSTAGE; 2007; Italian; Pass)

We have not got hot water so the water is very cold. (A2 WAYSTAGE; 2009; Panjabi; Pass)"
1179,NEGATION,negation,A2,N/A,"FORM: AUXILIARY VERB 'DO', PAST",Can form negative statements of main verbs in the past simple with 'didn't' + main verb. ► past simple,"It was very sad that you didn't come to my birthday party but it's ok. (India; A2 WAYSTAGE; 2004; Hindi; Pass)

I didn't spend a lot of money: only £143. (Italy; A2 WAYSTAGE; 2008; Italian; Pass)"
1180,NEGATION,negation,A2,N/A,"FORM: 'DO', IMPERATIVES",Can form negative imperatives of main verbs with 'don't' + main verb. ► Clauses: imperatives,"Don't forget your electric guitar. (France; A2 WAYSTAGE; 2009; French; Pass)

Don't be late. (India; A2 WAYSTAGE; 2009; Spanish - Other; )"
