No.,级别,词语,拼音,词性
831,六级,长远,chángyuǎn,形
832,高等,长征,chángzhēng,名
833,高等,长足,chángzú,形
834,五级,肠,cháng,名
835,五级,尝,cháng,动
836,五级,尝试,chángshì,动、名
837,一级,常,cháng,副
838,一级,常常,chángcháng,副
839,六级,常规,chángguī,名
840,二级,常见,cháng jiàn,
841,高等,常理,chánglǐ,名
842,六级,常年,chángnián,副、名
843,高等,常人,chángrén,名
844,四级,常识,chángshí,名
845,高等,常态,chángtài,名
846,高等,常温,chángwēn,名
847,二级,常用,cháng yòng,
848,高等,偿还,chánghuán,动
849,高等,嫦娥,Cháng’é,名
850,三级,厂,chǎng,名
851,高等,厂家,chǎngjiā,名
852,六级,厂商,chǎngshāng,名
853,五级,厂长,chǎngzhǎng,名
854,二级,场,chǎng,量
855,六级,场地,chǎngdì,名
856,六级,场馆,chǎngguǎn,名
857,三级,场合,chǎnghé,名
858,六级,场景,chǎngjǐng,名
859,五级,场面,chǎngmiàn,名
860,三级,场所,chǎngsuǒ,名
861,高等,敞开,chǎngkāi,动
862,高等,畅谈,chàngtán,动
863,六级,畅通,chàngtōng,形
864,高等,畅销,chàngxiāo,动
865,五级,倡导,chàngdǎo,动
866,高等,倡议,chàngyì,动、名
867,一级,唱,chàng,动
868,一级,唱歌,chàng∥gē,
869,四级,唱片,chàngpiàn,名
870,四级,抄,chāo,动
871,高等,抄袭,chāoxí,动
872,四级,抄写,chāoxiě,动
873,高等,钞票,chāopiào,名
874,六级,超,chāo,动
875,高等,超标,chāo∥biāo,
876,高等,超车,chāo∥chē,
877,六级,超出,chāochū,动
878,二级,超过,chāoguò,动
879,三级,超级,chāojí,形
880,高等,超前,chāoqián,形、动
881,二级,超市,chāoshì,名
882,高等,超速,chāosù,动
883,五级,超越,chāoyuè,动
884,三级,朝,cháo,介、动
885,高等,朝代,cháodài,名
886,高等,朝着,cháozhe,
887,高等,嘲弄,cháonòng,动
888,高等,嘲笑,cháoxiào,动
889,四级,潮,cháo,名、形
890,四级,潮流,cháoliú,名
891,四级,潮湿,cháoshī,形
892,三级,吵,chǎo,形、动
893,三级,吵架,chǎo∥jià,
894,高等,吵嘴,chǎo∥zuǐ,
895,六级,炒,chǎo,动
896,六级,炒股,chǎo∥gǔ,
897,六级,炒作,chǎozuò,动
898,一级,车,chē,名
899,高等,车道,chēdào,名
900,六级,车号,chēhào,名
901,高等,车祸,chēhuò,名
902,高等,车间,chējiān,名
903,二级,车辆,chēliàng,名
904,高等,车轮,chēlún,名
905,六级,车牌,chēpái,名
906,一级,车票,chēpiào,名
907,一级,车上,chē shang,
908,高等,车速,chēsù,名
909,高等,车位,chēwèi,名
910,高等,车厢,chēxiāng,名
911,高等,车型,chēxíng,名
912,六级,车展,chēzhǎn,名
913,一级,车站,chēzhàn,名
914,高等,车轴,chēzhóu,名
915,五级,车主,chēzhǔ,名
916,高等,扯,chě,动
917,四级,彻底,chèdǐ,形
918,高等,彻夜,chèyè,副
919,高等,撤,chè,动
920,高等,撤换,chèhuàn,动
921,六级,撤离,chèlí,动
922,六级,撤销,chèxiāo,动
923,四级,沉,chén,动、形
924,高等,沉甸甸,chéndiàndiàn,形
925,高等,沉淀,chéndiàn,动、名
926,高等,沉浸,chénjìn,动
927,高等,沉闷,chénmèn,形
928,高等,沉迷,chénmí,动
929,四级,沉默,chénmò,形、动
930,高等,沉思,chénsī,动
931,高等,沉稳,chénwěn,形
932,四级,沉重,chénzhòng,形
933,高等,沉着,chénzhuó,形
934,高等,陈旧,chénjiù,形
935,高等,陈列,chénliè,动
936,高等,陈述,chénshù,动
937,三级,衬衫,chènshān,名
938,高等,衬托,chèntuō,动
939,三级,衬衣,chènyī,名
940,高等,趁,chèn,介
941,高等,趁机,chènjī,副
942,高等,趁早,chènzǎo,副
943,高等,称1,chènzhe,
944,二级,称2,chēng,动
945,五级,称2（动）,chēng,动
946,五级,称号,chēnghào,名
947,高等,称呼,chēnghu,动、名
948,三级,称为,chēngwéi,
949,四级,称赞,chēngzàn,动
950,高等,称作,chēngzuò,
951,六级,撑,chēng,动
952,二级,成,chéng,动
953,六级,成（量）,chéng,量
954,五级,成本,chéngběn,名
955,高等,成才,chéngcái,动
956,六级,成分,chéngfèn,名
957,三级,成功,chénggōng,动、形
958,三级,成果,chéngguǒ,名
959,二级,成绩,chéngjì,名
960,高等,成家,chéng∥jiā,
961,五级,成交,chéng∥jiāo,
962,三级,成就,chéngjiù,名、动
963,三级,成立,chénglì,动
964,高等,成年,chéngnián,动
965,高等,成年（副）,chéngnián,副
966,六级,成品,chéngpǐn,名
967,高等,成千上万,chéngqiān-shàngwàn,
968,高等,成群结队,chéngqún-jiéduì,
969,四级,成人,chéngrén,名
970,三级,成熟,chéngshú,形
971,高等,成天,chéngtiān,副
972,二级,成为,chéngwéi,动
973,高等,成问题,chéngwèntí,
974,五级,成效,chéngxiào,名
975,高等,成型,chéngxíng,动
976,五级,成语,chéngyǔ,名
977,三级,成员,chéngyuán,名
978,三级,成长,chéngzhǎng,动
979,高等,呈现,chéngxiàn,动
980,高等,诚恳,chéngkěn,形
981,四级,诚实,chéng·shí,形
982,高等,诚心诚意,chéngxīn-chéngyì,
983,四级,诚信,chéngxìn,形
984,高等,诚意,chéngyì,名
985,高等,诚挚,chéngzhì,形
986,五级,承办,chéngbàn,动
987,高等,承包,chéngbāo,动
988,四级,承担,chéngdān,动
989,六级,承诺,chéngnuò,动
990,四级,承认,chéngrèn,动
991,四级,承受,chéngshòu,动
992,高等,承载,chéngzài,动
993,三级,城,chéng,名
994,五级,城里,chénglǐ,名
995,高等,城墙,chéngqiáng,名
996,六级,城区,chéngqū,名
997,三级,城市,chéngshì,名
998,六级,城乡,chéng xiāng,
999,六级,城镇,chéngzhèn,名
1000,五级,乘,chéng,动
1001,五级,乘车,chéng chē,
1002,五级,乘客,chéngkè,名
1003,高等,乘人之危,chéngrénzhīwēi,
1004,五级,乘坐,chéngzuò,动
1005,高等,盛,chéng,动
1006,三级,程度,chéngdù,名
1007,四级,程序,chéngxù,名
1008,高等,惩处,chéngchǔ,动
1009,高等,惩罚,chéngfá,动、名
1010,高等,澄清,chéngqīng,动、形
1011,高等,橙汁,chéngzhī,名
1012,高等,逞能,chěng∥néng,
1013,高等,逞强,chěng∥qiáng,
1014,高等,秤,chèng,名
1015,一级,吃,chī,动
1016,高等,吃不上,chī bushàng,动
1017,一级,吃饭,chī∥fàn,
1018,高等,吃喝玩乐,chī-hē-wán-lè,
1019,四级,吃惊,chī∥jīng,
1020,高等,吃苦,chī∥kǔ,
1021,高等,吃亏,chī∥kuī,
1022,五级,吃力,chīlì,形
1023,高等,痴呆,chīdāi,形
1024,高等,痴迷,chīmí,动
1025,高等,痴心,chīxīn,名
1026,高等,池塘,chítáng,名
1027,五级,池子,chízi,名
1028,高等,驰名,chímíng,动
1029,五级,迟,chí,形
1030,高等,迟迟,chíchí,副
1031,四级,迟到,chídào,动
1032,高等,迟疑,chíyí,形
1033,高等,迟早,chízǎo,副
1034,高等,持,chí,动
1035,高等,持久,chíjiǔ,形
1036,三级,持续,chíxù,动
1037,六级,持有,chíyǒu,动
1038,高等,持之以恒,chízhī-yǐhéng,
1039,四级,尺,chǐ,名、量
1040,四级,尺寸,chǐ·cùn,名
1041,高等,尺度,chǐdù,名
1042,四级,尺子,chǐzi,名
1043,高等,耻辱,chǐrǔ,名
1044,高等,耻笑,chǐxiào,动
1045,高等,赤字,chìzì,名
1046,高等,翅膀,chìbǎng,名
1047,四级,冲,chōng,动
1048,高等,冲刺,chōngcì,动
1049,五级,冲动,chōngdòng,名、形
1050,六级,冲击,chōngjī,动、名
1051,高等,冲浪,chōnglàng,动
1052,五级,冲突,chōngtū,动、名
1053,高等,冲洗,chōngxǐ,动
1054,高等,冲撞,chōngzhuàng,动
1055,高等,充,chōng,动
1056,高等,充当,chōngdāng,动
1057,四级,充电,chōng∥diàn,
1058,四级,充电器,chōngdiànqì,名
1059,四级,充分,chōngfèn,形
1060,三级,充满,chōngmǎn,动
1061,高等,充沛,chōngpèi,形
1062,高等,充实,chōngshí,形、动
1063,五级,充足,chōngzú,形
1064,四级,虫子,chóngzi,名
1065,三级,重,chóng,副
1066,高等,重播,chóngbō,动
1067,高等,重叠,chóngdié,动
1068,高等,重返,chóngfǎn,动
1069,二级,重复,chóngfù,动
1070,高等,重合,chónghé,动
1071,六级,重建,chóngjiàn,动
1072,高等,重申,chóngshēn,动
1073,高等,重现,chóngxiàn,动
1074,二级,重新,chóngxīn,副
1075,六级,重组,chóngzǔ,动
1076,六级,崇拜,chóngbài,动
1077,高等,崇高,chónggāo,形
1078,高等,崇尚,chóngshàng,动
1079,高等,宠,chǒng,动
1080,高等,宠爱,chǒng’ài,动
1081,六级,宠物,chǒngwù,名
1082,六级,冲,chòng,介、动
1083,四级,抽,chōu,动
1084,四级,抽奖,chōu∥jiǎng,
1085,高等,抽签,chōu∥qiān,
1086,高等,抽屉,chōuti,名
1087,高等,抽象,chōuxiàng,形
1088,四级,抽烟,chōuyān,动
1089,高等,仇,chóu,名
1090,高等,仇恨,chóuhèn,动、名
1091,高等,仇人,chóurén,名
1092,高等,稠,chóu,形
1093,高等,稠密,chóumì,形
1094,五级,愁,chóu,动
1095,高等,愁眉苦脸,chóuméi-kǔliǎn,
1096,高等,筹,chóu,动
1097,高等,筹办,chóubàn,动
1098,高等,筹备,chóubèi,动
1099,高等,筹措,chóucuò,动
1100,高等,筹划,chóuhuà,动、名
1101,高等,筹集,chóují,动
1102,高等,筹码,chóumǎ,名
1103,五级,丑,chǒu,形
1104,高等,丑恶,chǒu’è,形
1105,高等,丑陋,chǒulòu,形
1106,高等,丑闻,chǒuwén,名
1107,高等,瞅,chǒu,动
1108,五级,臭,chòu,形
1109,一级,出,chū,动
1110,五级,出版,chūbǎn,动
1111,高等,出版社,chūbǎnshè,名
1112,五级,出差,chū∥chāi,
1113,高等,出厂,chū∥chǎng,
1114,六级,出场,chū∥chǎng,
1115,高等,出丑,chū∥chǒu,
1116,高等,出道,chū∥dào,
1117,六级,出动,chūdòng,动
1118,二级,出发,chūfā,动
1119,高等,出发点,chūfādiǎn,名
1120,六级,出访,chūfǎng,动
1121,高等,出风头,chū fēngtou,
1122,二级,出国,chū∥guó,
1123,五级,出汗,chū∥hàn,
1124,高等,出境,chū∥jìng,
1125,高等,出局,chū∥jú,
1126,高等,出口,chūjù,动
1127,二级,出口,chūkǒu,名
1128,四级,出口（动）,chū∥kǒu,
1129,高等,出口成章,chūkǒu-chéngzhāng,
1130,一级,出来,chū∥·lái,
1131,六级,出路,chūlù,名
1132,高等,出卖,chūmài,动
1133,高等,出毛病,chū máo·bìng,
1134,二级,出门,chū∥mén,
1135,六级,出面,chū∥miàn,
1136,六级,出名,chū∥míng,
1137,高等,出难题,chū nántí,
1138,一级,出去,chū∥·qù,
1139,高等,出人意料,chūrényìliào,
1140,高等,出任,chūrèn,动
1141,六级,出入,chūrù,动、名
1142,四级,出色,chūsè,形
1143,高等,出山,chū∥shān,
1144,高等,出身,chūshēn,动、名
1145,二级,出生,chūshēng,动
1146,高等,出示,chūshì,动
1147,六级,出事,chū∥shì,
1148,高等,出手,chū∥shǒu,
1149,四级,出售,chūshòu,动
1150,六级,出台,chū∥tái,
1151,高等,出头,chū∥tóu,
1152,高等,出土,chū∥tǔ,
1153,高等,出息,chūxi,名
1154,四级,出席,chūxí,动
1155,二级,出现,chūxiàn,动
1156,高等,出血,chū∥xiě,
1157,六级,出行,chūxíng,动
1158,高等,出演,chūyǎn,动
1159,高等,出洋相,chū yángxiàng,
1160,高等,出游,chūyóu,动
1161,五级,出于,chūyú,动
1162,二级,出院,chū∥yuàn,
1163,高等,出众,chūzhòng,形
1164,高等,出主意,chū zhǔyi,
1165,高等,出资,chūzī,动
1166,高等,出自,chūzì,动
1167,高等,出走,chūzǒu,动
1168,二级,出租,chūzū,动
1169,二级,出租车,chūzūchē,名
1170,三级,初,chū,副
1171,三级,初（初一）,chū (chūyī),前缀
1172,三级,初步,chūbù,形
1173,高等,初次,chūcì,名
1174,六级,初等,chūděng,形
1175,三级,初级,chūjí,形
1176,五级,初期,chūqī,名
1177,三级,初中,chūzhōng,名
1178,高等,初衷,chūzhōng,名
1179,六级,除,chú,介、动
1180,高等,除此之外,chúcǐzhīwài,
1181,五级,除非,chúfēi,连、介
1182,三级,除了,chúle,介
1183,高等,除去,chúqù,动、介
1184,高等,除外,chúwài,动
1185,五级,除夕,chúxī,名
1186,五级,厨房,chúfáng,名
1187,六级,厨师,chúshī,名
1188,五级,处罚,chǔfá,动、名
1189,高等,处方,chǔfāng,动、名
1190,五级,处分,chǔfèn,名、动
1191,高等,处境,chǔjìng,名
1192,三级,处理,chǔlǐ,动、名
1193,四级,处于,chǔyú,动
1194,五级,处在,chǔzài,动
1195,高等,处置,chǔzhì,动
1196,高等,储备,chǔbèi,动、名
1197,六级,储存,chǔcún,动
1198,高等,储蓄,chǔxù,动、名
1199,四级,处,chù,名
1200,六级,处处,chùchù,副
1201,六级,处长,chùzhǎng,名
1202,高等,触动,chùdòng,动
1203,高等,触犯,chùfàn,动
1204,高等,触觉,chùjué,名
1205,高等,触摸,chùmō,动
1206,高等,触目惊心,chùmù-jīngxīn,
1207,高等,揣,chuāi,动
1208,高等,揣测,chuǎicè,动
1209,高等,揣摩,chuǎimó,动
1210,高等,踹,chuài,动
1211,高等,川流不息,chuānliú-bùxī,
1212,一级,穿,chuān,动
1213,高等,穿过,chuānguò,动
1214,四级,穿上,chuānshang,
1215,高等,穿小鞋,chuān xiǎoxié,
1216,高等,穿越,chuānyuè,动
1217,高等,穿着,chuānzhuó,名
1218,三级,传,chuán,动
1219,三级,传播,chuánbō,动
1220,高等,传承,chuánchéng,动、名
1221,六级,传出,chuánchū,
1222,五级,传达,chuándá,动
1223,五级,传递,chuándì,动
1224,三级,传来,chuánlái,
1225,六级,传媒,chuánméi,名
1226,高等,传奇,chuánqí,名
1227,高等,传染,chuánrǎn,动
1228,高等,传染病,chuánrǎnbìng,名
1229,高等,传人,chuánrén,名
1230,高等,传授,chuánshòu,动
1231,六级,传输,chuánshū,动
1232,三级,传说,chuánshuō,动、名
1233,四级,传统,chuántǒng,名、形
1234,高等,传闻,chuánwén,动、名
1235,六级,传言,chuányán,名、动
1236,五级,传真,chuánzhēn,名、动
1237,二级,船,chuán,名
1238,高等,船舶,chuánbó,名
1239,高等,船桨,chuánjiǎng,名
1240,六级,船员,chuányuán,名
1241,六级,船长,chuánzhǎng,名
1242,六级,船只,chuánzhī,名
1243,高等,喘,chuǎn,动
1244,高等,喘息,chuǎnxī,动
1245,六级,串,chuàn,量、动
1246,高等,串门,chuàn∥mén,
1247,高等,创伤,chuāngshāng,名
1248,四级,窗户,chuānghu,名
1249,六级,窗口,chuāngkǒu,名
1250,五级,窗帘,chuānglián,名
1251,四级,窗台,chuāngtái,名
1252,四级,窗子,chuāngzi,名
1253,一级,床,chuáng,名
1254,高等,床位,chuángwèi,名
1255,五级,闯,chuǎng,动
1256,高等,创,chuàng,动
1257,六级,创办,chuàngbàn,动
1258,六级,创建,chuàngjiàn,动
1259,五级,创立,chuànglì,动
1260,高等,创始人,chuàngshǐrén,名
1261,三级,创新,chuàngxīn,动、名
1262,三级,创业,chuàngyè,动
1263,六级,创意,chuàngyì,名、动
1264,三级,创造,chuàngzào,动、名
1265,三级,创作,chuàngzuò,动、名
1266,二级,吹,chuī,动
1267,高等,吹了,chuī le,
1268,高等,吹牛,chuī∥niú,
1269,高等,吹捧,chuīpěng,动
1270,高等,垂,chuí,动
1271,高等,垂头丧气,chuítóu-sàngqì,
1272,高等,捶,chuí,动
1273,高等,锤子,chuízi,名
1274,四级,春季,chūnjì,名
1275,二级,春节,Chūnjié,名
1276,二级,春天,chūntiān,名
1277,四级,纯,chún,形
1278,高等,纯粹,chúncuì,形
1279,高等,纯洁,chúnjié,形、动
1280,四级,纯净水,chúnjìngshuǐ,名
1281,高等,纯朴,chúnpǔ,形
1282,高等,醇厚,chúnhòu,形
1283,高等,蠢,chǔn,形
1284,高等,戳,chuō,动、名
1285,高等,绰号,chuòhào,名
1286,二级,词,cí,名
1287,二级,词典,cídiǎn,名
1288,四级,词汇,cíhuì,名
1289,二级,词语,cíyǔ,名
1290,高等,瓷,cí,名
1291,高等,瓷器,cíqì,名
1292,高等,辞,cí,动
1293,高等,辞呈,cíchéng,名
1294,五级,辞典,cídiǎn,名
1295,高等,辞去,cíqù,
1296,高等,辞退,cítuì,动
1297,五级,辞职,cí∥zhí,
1298,高等,慈善,císhàn,形
1299,高等,慈祥,cíxiáng,形
1300,高等,磁带,cídài,名
1301,高等,磁卡,cíkǎ,名
1302,高等,磁盘,cípán,名
1303,四级,此,cǐ,代
1304,六级,此处,cǐ chù,
1305,六级,此次,cǐ cì,
1306,五级,此后,cǐhòu,名
1307,五级,此刻,cǐkè,名
1308,高等,此起彼伏,cǐqǐ-bǐfú,
1309,六级,此前,cǐqián,名
1310,五级,此时,cǐshí,名
1311,六级,此事,cǐshì,名
1312,四级,此外,cǐwài,连
1313,六级,此致,cǐzhì,动
1314,一级,次,cì,量
1315,四级,次（形）,cì,形
1316,高等,次日,cìrì,名
1317,六级,次数,cìshù,名
1318,高等,伺候,cìhou,动
1319,四级,刺,cì,动、名
1320,高等,刺耳,cì’ěr,形
1321,高等,刺骨,cìgǔ,动
1322,四级,刺激,cìjī,动、名
1323,高等,刺绣,cìxiù,动、名
1324,高等,赐,cì,动
1325,高等,赐教,cìjiào,动
1326,高等,匆匆,cōngcōng,形
1327,高等,匆忙,cōngmáng,形
1328,高等,葱,cōng,名
1329,五级,聪明,cōng·míng,形
1330,一级,从,cóng,介
1331,六级,从不,cóng bù,
1332,四级,从此,cóngcǐ,副
1333,五级,从而,cóng’ér,连
1334,高等,从今以后,cóng jīn yǐhòu,
1335,三级,从来,cónglái,副
1336,高等,从来不,cónglái bù,
1337,六级,从没,cóng méi,
1338,三级,从前,cóngqián,名
1339,高等,从容,cóngróng,形
1340,高等,从容不迫,cóngróng-búpò,
1341,三级,从事,cóngshì,动
1342,高等,从头,cóngtóu,副
1343,高等,从未,cóngwèi,副
1344,二级,从小,cóngxiǎo,副
1345,高等,从业,cóngyè,动
1346,高等,从早到晚,cóngzǎo-dàowǎn,
1347,五级,从中,cóngzhōng,副
1348,高等,丛林,cónglín,名
1349,高等,凑,còu,动
1350,高等,凑合,còuhe,动
1351,高等,凑巧,còuqiǎo,形
1352,四级,粗,cū,形
1353,高等,粗暴,cūbào,形
1354,高等,粗糙,cūcāo,形
1355,高等,粗鲁,cū·lǔ,形
1356,高等,粗略,cūlüè,形
1357,四级,粗心,cūxīn,形
1358,高等,粗心大意,cūxīn-dàyì,
1359,高等,促成,cùchéng,动
1360,四级,促进,cùjìn,动
1361,四级,促使,cùshǐ,动
1362,四级,促销,cùxiāo,动
1363,六级,醋,cù,名
1364,高等,簇拥,cùyōng,动
1365,高等,窜,cuàn,动
1366,高等,催,cuī,动
1367,高等,催促,cuīcù,动
1368,高等,催眠,cuīmián,动
1369,高等,摧毁,cuīhuǐ,动
1370,五级,脆,cuì,形
1371,高等,脆弱,cuìruò,形
1372,高等,翠绿,cuìlǜ,形
